CH00,CH01,CH02,CH03,CH04,CH05,CH06,CH07,CH08,CH09,CH10,CH11,CH12
0000,0100,0200,0300,0400,0500,0600,0700,0800,0900,1000,1100,1200
0001,0101,0201,0301,0401,0501,0601,0701,0801,0901,1001,1101,1201
0002,0102,0202,0302,0402,0502,0602,0702,0802,0902,1002,1102,1202
0003,0103,0203,0303,0403,0503,0603,0703,0803,0903,1003,1103,1203
0004,0104,0204,0304,0404,0504,0604,0704,0804,0904,1004,1104,1204
0005,0105,0205,0305,0405,0505,0605,0705,0805,0905,1005,1105,1205
0006,0106,0206,0306,0406,0506,0606,0706,0806,0906,1006,1106,1206
0007,0107,0207,0307,0407,0507,0607,0707,0807,0907,1007,1107,1207
0008,0108,0208,0308,0408,0508,0608,0708,0808,0908,1008,1108,1208
0009,0109,0209,0309,0409,0509,0609,0709,0809,0909,1009,1109,1209
